IP 地址,已发送,已接收,丢包率,平均延迟,下载速度（MB/s）
104.16.126.195,,,,159 毫秒,10752 kB/s
104.17.63.205,,,,164 毫秒,10752 kB/s
104.18.91.230,,,,174 毫秒,10752 kB/s
172.67.111.129,,,,204 毫秒,10752 kB/s
104.18.87.87,,,,161 毫秒,10752 kB/s
104.19.227.30,,,,173 毫秒,10752 kB/s
104.19.14.12,,,,204 毫秒,10752 kB/s
104.19.213.37,,,,158 毫秒,10752 kB/s
104.17.159.201,,,,181 毫秒,10752 kB/s
104.16.228.109,,,,174 毫秒,10752 kB/s
104.24.180.119,,,,207 毫秒,10752 kB/s
104.18.21.214,,,,194 毫秒,10752 kB/s
104.17.52.123,,,,162 毫秒,10752 kB/s
104.16.55.138,,,,175 毫秒,10752 kB/s
104.16.192.184,,,,179 毫秒,10752 kB/s
172.67.142.119,,,,201 毫秒,10752 kB/s
104.16.132.169,,,,167 毫秒,10752 kB/s
104.16.154.240,,,,167 毫秒,10752 kB/s
104.17.60.17,,,,192 毫秒,10752 kB/s
104.18.79.195,,,,157 毫秒,10752 kB/s
104.16.162.53,,,,164 毫秒,10752 kB/s
104.17.207.98,,,,169 毫秒,10752 kB/s
104.18.166.151,,,,179 毫秒,10752 kB/s
104.16.236.179,,,,174 毫秒,10752 kB/s
104.17.14.46,,,,161 毫秒,10752 kB/s
104.16.57.241,,,,165 毫秒,10752 kB/s
104.19.113.156,,,,198 毫秒,10752 kB/s
104.18.81.255,,,,162 毫秒,10752 kB/s
104.17.178.27,,,,181 毫秒,10752 kB/s
104.18.222.221,,,,165 毫秒,10752 kB/s
162.159.22.184,,,,199 毫秒,10752 kB/s
104.21.201.178,,,,202 毫秒,10752 kB/s
198.41.203.57,,,,203 毫秒,10854 kB/s
104.26.10.183,,,,135 毫秒,10854 kB/s
104.18.86.156,,,,212 毫秒,10854 kB/s
104.22.59.208,,,,218 毫秒,10854 kB/s
172.67.108.121,,,,215 毫秒,10854 kB/s
104.16.174.144,,,,216 毫秒,10854 kB/s
